ts,cpu_pct,rss_mb
1756736253.0623956,49.4,346.37109375
1756736253.363013,48.7,346.37109375
1756736253.6637673,59.9,346.37109375
1756736253.964768,53.3,346.37109375
1756736254.2661054,52.2,346.375
1756736254.5667398,47.3,346.375
1756736254.867251,50.0,346.375
1756736255.167926,58.0,346.375
1756736255.4959798,54.8,346.390625
1756736255.7970486,58.5,346.390625
1756736256.0977333,55.2,346.390625
1756736256.3983455,50.0,346.390625
1756736256.6989143,51.6,346.390625
1756736256.9996324,53.2,346.390625
1756736257.3003716,47.8,346.390625
1756736257.6010654,53.3,346.390625
1756736257.9019098,50.0,346.390625
1756736258.2026649,58.5,346.390625
1756736258.5036893,51.3,346.40234375
1756736258.8046162,52.6,346.40234375
1756736259.105313,48.7,346.40234375
1756736259.406107,51.6,346.40234375
1756736259.7070782,47.1,346.40625
1756736260.0075164,50.7,346.40625
1756736260.3084686,59.0,346.40625
1756736260.6090765,53.5,346.40625
1756736260.9096801,48.7,346.40625
1756736261.2103627,51.0,346.40625
1756736261.5113113,51.3,346.40625
1756736261.812127,45.6,346.40625
1756736262.1130314,51.7,346.41015625
1756736262.413829,47.7,346.41015625
1756736262.7145836,61.7,350.44140625
1756736263.0155015,51.0,346.4140625
1756736263.3161006,50.3,346.4140625
1756736263.616767,48.4,346.4140625
1756736263.91751,50.0,346.4140625
1756736264.218524,52.5,346.4140625
1756736264.519205,52.6,346.4140625
1756736264.820103,78.2,347.390625
1756736265.1208024,55.3,347.49609375
1756736265.4215214,62.0,347.53125
1756736265.7224944,59.2,347.53125
1756736266.023455,52.3,347.55078125
1756736266.3240635,68.6,347.5859375
1756736266.6247206,51.0,347.59375
1756736266.9253945,68.8,347.61328125
1756736267.2264578,63.5,347.61328125
1756736267.5274699,71.1,347.6171875
1756736267.828009,65.8,347.63671875
1756736268.1286638,50.7,347.63671875
1756736268.4294367,64.1,347.6328125
1756736268.730051,62.6,347.6328125
1756736269.0306575,69.8,347.63671875
1756736269.3315644,60.6,347.63671875
1756736269.6323857,69.3,347.6328125
1756736269.9331253,57.8,347.6328125
1756736270.2340357,52.9,347.6328125
1756736270.5347402,67.5,347.55859375
1756736270.8353674,48.4,347.59765625
