ts,cpu_pct,rss_mb
1756736387.1424859,56.2,345.46875
1756736387.443703,52.3,345.484375
1756736387.7446198,54.2,345.484375
1756736388.0453184,53.2,345.48828125
1756736388.3459916,53.0,345.48828125
1756736388.6465518,52.9,345.48828125
1756736388.947489,52.9,345.4921875
1756736389.2483263,53.8,345.4921875
1756736389.5492847,67.7,345.4921875
1756736389.850296,52.0,345.4921875
1756736390.1511316,55.2,345.4921875
1756736390.4521701,48.1,345.4921875
1756736390.7529416,48.4,345.4921875
1756736391.0538454,54.6,345.4921875
1756736391.3545215,47.1,345.5
1756736391.6554513,57.4,345.5
1756736391.956894,59.2,345.50390625
1756736392.2577682,54.6,345.56640625
1756736392.5582275,55.6,345.56640625
1756736392.8587623,50.0,345.56640625
1756736393.1598272,51.6,345.56640625
1756736393.4604993,51.6,345.56640625
1756736393.761387,49.7,345.56640625
1756736394.06213,56.6,345.56640625
1756736394.3630157,53.3,345.56640625
1756736394.6636262,48.7,345.56640625
1756736394.9645805,46.8,345.59375
1756736395.2651274,53.5,345.59375
1756736395.5658798,43.2,345.59375
1756736395.8668363,55.8,345.59375
1756736396.1674566,57.9,345.59375
1756736396.468245,55.6,345.59375
1756736396.7692392,51.0,345.59375
1756736397.0698571,55.4,345.59375
1756736397.3708248,52.9,345.59375
1756736397.6723094,49.1,345.59765625
1756736397.9732661,52.6,345.59765625
1756736398.2743888,51.6,345.59765625
1756736398.575442,59.2,345.6171875
1756736398.8761258,54.8,345.6171875
1756736399.1770282,51.6,345.6171875
1756736399.4777865,54.2,345.6171875
1756736399.7788205,54.1,345.6171875
1756736400.0797079,51.3,345.6171875
1756736400.3806098,56.6,345.6171875
1756736400.6813078,54.9,345.6171875
1756736400.98203,52.2,345.6171875
1756736401.282708,52.9,345.6171875
1756736401.583385,53.3,345.6171875
1756736401.8840022,47.0,345.6171875
1756736402.1847024,50.6,345.6171875
1756736402.4855027,49.4,345.62890625
1756736402.7864463,57.5,345.6328125
1756736403.0872083,56.5,345.6328125
1756736403.3879786,56.1,345.6328125
1756736403.688841,50.0,345.6328125
1756736403.989742,55.8,345.63671875
1756736404.2909544,67.3,345.63671875
1756736404.5917215,52.5,345.63671875
